rung,snr_db,seed,n_msgs,exact,secs
clean,,0,1,1,0.3
snr20_s1,20.0,1,1,1,0.2
snr20_s2,20.0,2,1,1,0.2
snr20_s3,20.0,3,1,1,0.2
snr20_s4,20.0,4,1,1,0.2
snr20_s5,20.0,5,1,1,0.2
snr20_s6,20.0,6,1,1,0.2
snr20_s7,20.0,7,1,1,0.2
snr20_s8,20.0,8,1,1,0.2
snr20_s9,20.0,9,1,1,0.2
snr20_s10,20.0,10,1,1,0.2
snr15_s1,15.0,1,1,1,0.2
snr15_s2,15.0,2,1,1,0.2
snr15_s3,15.0,3,1,1,0.2
snr15_s4,15.0,4,1,1,0.2
snr15_s5,15.0,5,1,1,0.2
snr15_s6,15.0,6,1,1,0.2
snr15_s7,15.0,7,1,1,0.2
snr15_s8,15.0,8,1,1,0.2
snr15_s9,15.0,9,1,1,0.2
snr15_s10,15.0,10,1,1,0.2
snr12_s1,12.0,1,1,1,0.2
snr12_s2,12.0,2,1,1,0.2
snr12_s3,12.0,3,1,1,0.2
snr12_s4,12.0,4,1,1,0.2
snr12_s5,12.0,5,1,1,0.2
snr12_s6,12.0,6,1,1,0.2
snr12_s7,12.0,7,1,1,0.2
snr12_s8,12.0,8,1,1,0.2
snr12_s9,12.0,9,1,1,0.2
snr12_s10,12.0,10,1,1,0.2
snr10_s1,10.0,1,1,1,0.2
snr10_s2,10.0,2,1,1,0.2
snr10_s3,10.0,3,1,1,0.2
snr10_s4,10.0,4,1,1,0.2
snr10_s5,10.0,5,1,1,0.2
snr10_s6,10.0,6,1,1,0.2
snr10_s7,10.0,7,1,1,0.2
snr10_s8,10.0,8,1,1,0.2
snr10_s9,10.0,9,1,1,0.2
snr10_s10,10.0,10,1,1,0.2
snr9_s1,9.0,1,0,0,0.2
snr9_s2,9.0,2,1,1,0.2
snr9_s3,9.0,3,1,1,0.1
snr9_s4,9.0,4,1,1,0.2
snr9_s5,9.0,5,1,1,0.2
snr9_s6,9.0,6,1,1,0.2
snr9_s7,9.0,7,1,1,0.2
snr9_s8,9.0,8,1,1,0.2
snr9_s9,9.0,9,0,0,0.2
snr9_s10,9.0,10,1,1,0.2
snr8_s1,8.0,1,0,0,0.2
snr8_s2,8.0,2,0,0,0.2
snr8_s3,8.0,3,1,1,0.1
snr8_s4,8.0,4,0,0,0.2
snr8_s5,8.0,5,0,0,0.1
snr8_s6,8.0,6,0,0,0.1
snr8_s7,8.0,7,1,1,0.2
snr8_s8,8.0,8,0,0,0.2
snr8_s9,8.0,9,0,0,0.2
snr8_s10,8.0,10,0,0,0.2
snr7_s1,7.0,1,0,0,0.2
snr7_s2,7.0,2,0,0,0.2
snr7_s3,7.0,3,0,0,0.2
snr7_s4,7.0,4,0,0,0.2
snr7_s5,7.0,5,0,0,0.2
snr7_s6,7.0,6,0,0,0.2
snr7_s7,7.0,7,0,0,0.2
snr7_s8,7.0,8,0,0,0.2
snr7_s9,7.0,9,0,0,0.2
snr7_s10,7.0,10,0,0,0.2
snr6_s1,6.0,1,0,0,0.2
snr6_s2,6.0,2,0,0,0.2
snr6_s3,6.0,3,0,0,0.2
snr6_s4,6.0,4,0,0,0.2
snr6_s5,6.0,5,0,0,0.2
snr6_s6,6.0,6,0,0,0.2
snr6_s7,6.0,7,0,0,0.2
snr6_s8,6.0,8,0,0,0.2
snr6_s9,6.0,9,0,0,0.2
snr6_s10,6.0,10,0,0,0.2
snr5_s1,5.0,1,0,0,0.2
snr5_s2,5.0,2,0,0,0.2
snr5_s3,5.0,3,0,0,0.2
snr5_s4,5.0,4,0,0,0.2
snr5_s5,5.0,5,0,0,0.2
snr5_s6,5.0,6,0,0,0.2
snr5_s7,5.0,7,0,0,0.2
snr5_s8,5.0,8,0,0,0.1
snr5_s9,5.0,9,0,0,0.2
snr5_s10,5.0,10,0,0,0.2
snr4_s1,4.0,1,0,0,0.2
snr4_s2,4.0,2,0,0,0.2
snr4_s3,4.0,3,0,0,0.2
snr4_s4,4.0,4,0,0,0.2
snr4_s5,4.0,5,0,0,0.1
snr4_s6,4.0,6,0,0,0.1
snr4_s7,4.0,7,0,0,0.2
snr4_s8,4.0,8,0,0,0.2
snr4_s9,4.0,9,0,0,0.2
snr4_s10,4.0,10,0,0,0.2
snr3_s1,3.0,1,0,0,0.2
snr3_s2,3.0,2,0,0,0.2
snr3_s3,3.0,3,0,0,0.2
snr3_s4,3.0,4,0,0,0.2
snr3_s5,3.0,5,0,0,0.2
snr3_s6,3.0,6,0,0,0.2
snr3_s7,3.0,7,0,0,0.1
snr3_s8,3.0,8,0,0,0.2
snr3_s9,3.0,9,0,0,0.2
snr3_s10,3.0,10,0,0,0.1
